광역,지역명,구분,사업명,온실가스감축량_합계_톤,예산_합계_백만원
강원,강릉시,건물,가로등 에너지효율화 사업,1040.0,200.0
강원,강릉시,건물,단독주택 도시가스 보급확대,2070.0,4800.0
강원,강릉시,건물,목재펠릿 보일러 보급,500.0,160.0
강원,강릉시,건물,읍면동 가로·보안등 조도개선 사업,1040.0,200.0
강원,강릉시,건물,저녹스 보일러 보급,160.0,0.0
강원,강릉시,건물,취약계층 에너지 복지사업,180.0,0.0
강원,강릉시,건물,탄소포인트제 운영,30156.0,1794.0
강원,강릉시,농축산,고효율 노후기관 장비 설비설치 교체지원,0.0,800.0
강원,강릉시,농축산,농산물 유통체계 확립,0.0,3660.0
강원,강릉시,농축산,신기술 농업기반 확산,1344.0,80.0
강원,강릉시,농축산,신속한 가축분뇨 처리,0.0,1400.0
강원,강릉시,농축산,연근해어선 노후기관 대체 지원,14400.0,2160.0
강원,강릉시,수송,건설기계 저공해 조치,20.0,2090.0
강원,강릉시,수송,남대천 자전거도로 정비사업,0.0,6000.0
강원,강릉시,수송,수소전기자동차 보급사업,1288.0,27600.0
강원,강릉시,수송,운행차 저공해 조치,120.0,1570.0
강원,강릉시,수송,자동차 탄소포인트제 운영,5402.0,300.0
강원,강릉시,수송,전기 이륜차 보급사업,660.0,800.0
강원,강릉시,수송,전기 자동차 보급사업(승용),3880.0,13760.0
강원,강릉시,수송,전기 자동차 보급사업(승합),200.0,12600.0
강원,강릉시,수송,전기 자동차 보급사업(화물),6460.0,26160.0
강원,강릉시,수송,조기폐차,4300.0,38130.0
강원,강릉시,수송,지능형 교통체계 운영 관리,0.0,19800.0
강원,강릉시,전환,동해안 신재생에너지 클러스터 구축,2738880.0,0.0
강원,강릉시,전환,신재생에너지 융복합 지원사업(지열),606.0,7652.0
강원,강릉시,전환,신재생에너지 융복합 지원사업(태양광),2256.0,15304.0
강원,강릉시,전환,신재생에너지 융복합 지원사업(태양열),90.0,15304.0
강원,강릉시,전환,신재생에너지 주택지원사업(지열),1010.0,1055.0
강원,강릉시,전환,신재생에너지 주택지원사업(태양광),3040.0,2110.0
강원,강릉시,전환,신재생에너지 주택지원사업(태양열),60.0,2110.0
강원,강릉시,폐기물,생활자원회수센터 설치사업,0.0,27100.0
강원,강릉시,폐기물,음식물류 폐기물 및 재활용품 자원화,300.0,600.0
강원,강릉시,흡수원,가로변 계절꽃 식재,0.0,6700.0
강원,강릉시,흡수원,가로수 유지관리,0.0,5880.0
강원,강릉시,흡수원,가로수 조성관리,0.0,2400.0
강원,강릉시,흡수원,강릉솔향수목원 운영관리,0.0,25000.0
강원,강릉시,흡수원,공동체 정원조성,140.0,300.0
강원,강릉시,흡수원,공유림 관리,0.0,330.0
강원,강릉시,흡수원,녹지경관 조성관리,0.0,9460.0
강원,강릉시,흡수원,도립공원 조경 및 환경개선 사업,0.0,2390.0
강원,강릉시,흡수원,도시공원 일반운영관리,0.0,14720.0
강원,강릉시,흡수원,도시주변 우량소나무림 보존,0.0,7640.0
강원,강릉시,흡수원,띠녹지조성 및 관리,0.0,500.0
강원,강릉시,흡수원,바다숲 조성(전환사업),0.0,1432.0
강원,강릉시,흡수원,바다숲 조성사업 사후관리,0.0,2000.0
강원,강릉시,흡수원,바이오숲 조성 및 운영,0.0,990.0
강원,강릉시,흡수원,보호수정비,0.0,350.0
