광역,지역명,구분,사업명,온실가스감축량_합계_톤,예산_합계_백만원
강원,강릉시,건물,가로등 에너지효율화 사업,1040.0,200.0
강원,강릉시,건물,단독주택 도시가스 보급확대,2070.0,4800.0
강원,강릉시,건물,목재펠릿 보일러 보급,500.0,160.0
강원,강릉시,건물,읍면동 가로·보안등 조도개선 사업,1040.0,200.0
강원,강릉시,건물,저녹스 보일러 보급,160.0,0.0
강원,강릉시,건물,취약계층 에너지 복지사업,180.0,0.0
강원,강릉시,건물,탄소포인트제 운영,30156.0,1794.0
강원,고성군,건물,가정용 저녹스보일러 보급사업,326.0,30.0
강원,고성군,건물,신재생에너지 융복합사업,29.0,9670.0
강원,고성군,건물,신재생에너지 주택지원사업,11.0,2879.0
강원,고성군,건물,취약계층 에너지 복지사업,4002.0,100.0
강원,고성군,건물,탄소제로 시범마을 조성계획 수립,0.0,2965.0
강원,고성군,건물,탄소포인트제 및 자동차 탄소포인트제 추친·관리,0.0,148.0
강원,동해시,건물,가정용 친환경 보일러 교체사업,2346.0,120.0
강원,동해시,건물,건축물 제로에너지화 추진,3335.0,0.0
강원,동해시,건물,공공건축물 태양광 발전사업,6180.0,0.0
강원,동해시,건물,공동주택 미니태양광 보급사업,10.0,0.0
강원,동해시,건물,노후 건축물 그린리모델링 사업,210.0,0.0
강원,동해시,건물,도시가스 공급 확대,7300.0,0.0
강원,동해시,건물,도시재생사업 내 태양광 설치 사업,378.0,4381.0
강원,동해시,건물,목재펠릿 연소기 공급,1327.0,60.0
강원,동해시,건물,승강기 회생제동장치 (전력생산장치) 설치,140.0,0.0
강원,동해시,건물,신재생에너지 융복합 지원사업(지열),4630.0,0.0
강원,동해시,건물,신재생에너지 융복합 지원사업(태양광),42111.0,31541.0
강원,동해시,건물,신재생에너지 융복합 지원사업(태양열),1230.0,0.0
강원,동해시,건물,신재생에너지 주택지원사업,13164.0,447.0
강원,동해시,건물,에너지 절약 운동 추진,0.0,46.0
강원,동해시,건물,우리집 전기저금통 사업 확대,160.0,158.0
강원,동해시,건물,저소득층 LED 조명 교체사업,530.0,0.0
강원,동해시,건물,지방상수도 현대화사업,9660.0,75600.0
강원,동해시,건물,탄소포인트제 운영,2360.0,362.0
강원,동해시,건물,태양광 조명 설치(버스승강장),0.0,0.0
강원,삼척시,건물,LED 간판 개선 사업,11.0,250.0
강원,삼척시,건물,노후 도로조명 개량공사(LED 조명 교체),68.0,1680.0
강원,삼척시,건물,녹색건축물 조성 보조금 지원사업 추진(그린리모델링),150.0,15000.0
강원,삼척시,건물,녹색제품 구매 활성화 추진,0.0,19200.0
강원,삼척시,건물,덕풍계곡 힐링타운,740.0,0.0
강원,삼척시,건물,도시가스 공급 확대,2771.0,2711.0
강원,삼척시,건물,목재 펠릿보일러 지원사업,6297.0,210.0
강원,삼척시,건물,비산업 부문 온실가스 진단·컨설팅,0.0,0.0
강원,삼척시,건물,빗물재이용시설,0.0,0.0
강원,삼척시,건물,신재생에너지 보급(가정신재생에너지 지원사업),3938.0,5282.0
강원,삼척시,건물,에코마일리지(탄소중립포인트제 가입),86.0,186.0
강원,삼척시,건물,일과중 냉난방기 30분 운휴,0.0,0.0
강원,삼척시,건물,취약계층 고효율 LED조명 교체 지원,172.0,108.0
강원,삼척시,건물,취약계층 에너지 효율화 사업 지원,13868.0,572.0
강원,삼척시,건물,친환경 보일러 확대 보급,141.0,10.0
