광역,지역명,구분,사업명,온실가스감축량_합계_톤,예산_합계_백만원
강원,강릉시,수송,건설기계 저공해 조치,20.0,2090.0
강원,강릉시,수송,남대천 자전거도로 정비사업,0.0,6000.0
강원,강릉시,수송,수소전기자동차 보급사업,1288.0,27600.0
강원,강릉시,수송,운행차 저공해 조치,120.0,1570.0
강원,강릉시,수송,자동차 탄소포인트제 운영,5402.0,300.0
강원,강릉시,수송,전기 이륜차 보급사업,660.0,800.0
강원,강릉시,수송,전기 자동차 보급사업(승용),3880.0,13760.0
강원,강릉시,수송,전기 자동차 보급사업(승합),200.0,12600.0
강원,강릉시,수송,전기 자동차 보급사업(화물),6460.0,26160.0
강원,강릉시,수송,조기폐차,4300.0,38130.0
강원,강릉시,수송,지능형 교통체계 운영 관리,0.0,19800.0
강원,고성군,수송,운행차 배출가스 저감사업 추진,0.0,7380.0
강원,고성군,수송,전기자동차 보급사업 추진,4497.0,11550.0
강원,고성군,수송,전기자동차 충전소 설치 및 관리,0.0,0.0
강원,동해시,수송,공공형 버스 운행,0.0,7906.0
강원,동해시,수송,그린 모빌리티 보급 확대(수소차),1437.0,1728.0
강원,동해시,수송,그린 모빌리티 보급 확대(전기차),27329.0,28156.0
강원,동해시,수송,노후 경유차 조기폐차,130092.0,10190.880000000001
강원,동해시,수송,매연저감장치 설치,11303.0,478.0
강원,동해시,수송,시민 건강 걷기 마일리지제,0.0,370.0
강원,동해시,수송,어업활동 지원 및 경영개선(친환경 기관보급),0.0,1000.0
강원,동해시,수송,자동차탄소포인트제,384.0,69.2
강원,동해시,수송,자전거도로 유지관리,0.0,1200.0
강원,동해시,수송,통학차량 LPG 전환,240.0,9.0
강원,삼척시,수송,공공기관 관용차량 친환경 자동차 전환,20.0,400.0
강원,삼척시,수송,공공기관 승용차 요일제 추진,1538.0,0.0
강원,삼척시,수송,노후경유차 매연저감장치(DPF) 지원사업,0.0,0.0
강원,삼척시,수송,노후경유차 폐차 지원 사업,0.0,4475.0
강원,삼척시,수송,대중교통 활성화,8141.0,2750.0
강원,삼척시,수송,수소 버스 도입,729.0,3690.0
강원,삼척시,수송,수소차 보급 확대,370.0,6000.0
강원,삼척시,수송,자전거 전용도로 확장,9328.0,120.0
강원,삼척시,수송,전기버스 의무 도입,440.0,630.0
강원,삼척시,수송,전기차(승용차)보급 촉진,1640.0,62000.0
강원,삼척시,수송,전동킥보드 이용 활성화,81.0,0.0
강원,삼척시,수송,철도 교통망 확충('24년 말 동해선(포항~삼척)개통),1.0,0.0
강원,삼척시,수송,친환경 택시 의무 도입,99.0,400.0
강원,삼척시,수송,친환경차 인프라 확대 설치,0.0,0.0
강원,삼척시,수송,탄소중립포인트(자동차)제도,572.0,48.0
강원,삼척시,수송,통근버스 운영,36211.0,0.0
강원,삼척시,수송,화물차 전기차 교체 추진,1079.0,5000.0
강원,속초시,수송,도시철도망 구축(역세권 연계 트램 도입),155.0,1834133.0
강원,속초시,수송,수소버스 보급사업,657.0,3300.0
강원,속초시,수송,수소자동차 보급사업,3216.0,228908.0
강원,속초시,수송,어린이 통학차량의 LPG차 전환 지원사업,0.0,105.0
강원,속초시,수송,운행경유차 배출가스 저감사업(건설기계 엔진교체),10670.0,0.0
강원,속초시,수송,운행경유차 배출가스 저감사업(조기폐차),21340.0,37654.0
강원,속초시,수송,자동차 탄소중립포인트제 운영,1096.0,681.0
강원,속초시,수송,자전거 도로 구축,754.0,0.0
강원,속초시,수송,전기버스 보급사업,4829.0,20000.0
강원,속초시,수송,전기이륜차 보급사업,398.0,1840.0
강원,속초시,수송,전기자동차 보급사업(승용차),33479.0,338220.0
강원,속초시,수송,전기자동차 보급사업(화물차),11184.0,0.0
강원,속초시,수송,지능형 교통체계(ITS) 구축사업,0.0,1705.0
강원,양구군,수송,노후 경유차 조기 폐차,325.0,1820.0
강원,양구군,수송,수소차 보급 사업(승용차),508.0,1650.0
강원,양구군,수송,자동차 탄소포인트제 인센티브 제공,90.0,25.0
강원,양구군,수송,"전기차보급사업(승용차, 화물차)",9724.0,9245.0
강원,양양군,수송,노후경유차 조기폐차 지원사업,2999.0,2970.0
강원,양양군,수송,수소전기자동차 보급사업,91.0,1725.0
강원,양양군,수송,운행경유차 배출가스 저감사업(엔진교체),0.0,415.0
강원,양양군,수송,운행경유차 배출가스 저감사업(저감장치),9.0,85.0
강원,양양군,수송,전기이륜차 보급사업,68.0,95.0
강원,양양군,수송,전기자동차 보급사업(승용),581.0,5855.0
강원,양양군,수송,전기자동차 보급사업(승합),20.0,0.0
강원,양양군,수송,전기자동차 보급사업(화물),649.0,0.0
강원,영월군,수송,노후경유차 조기폐차 지원사업,20301.0,9060.0
강원,영월군,수송,전기자동차 민간보급 지원(승용차),4673.0,1936.0
강원,영월군,수송,전기자동차 민간보급 지원(이륜차),748.0,168.0
강원,영월군,수송,전기자동차 민간보급 지원(화물차),10058.0,6985.0
강원,원주시,수송,대중교통비 환급 지원 사업(K-패스),31.4,10500.0
강원,원주시,수송,수소전기자동차 보급(승용차),5640.0,117775.0
강원,원주시,수송,어린이 통학차량 LPG차 전환 지원,1.0,15.0
강원,원주시,수송,운행경유차 배출가스 저감(조기폐차),20666.0,23600.0
강원,원주시,수송,원주천르네상스사업,2.0,300.0
강원,원주시,수송,자전거 이용시설 설치 및 정비,39.2,2650.0
강원,원주시,수송,전기이륜차 보급,68.0,800.0
강원,원주시,수송,전기자동차 보급(승용차),5990.0,130200.0
강원,원주시,수송,전기자전거 보급,8.8,265.0
강원,인제군,수송,건설기계 엔진교체 지원,10.0,0.0
강원,인제군,수송,경유자동차 매연저감장치 설치 지원,20.0,0.0
강원,인제군,수송,노후경유차 조기폐차 지원(4등급),1123.0,0.0
강원,인제군,수송,노후경유차 조기폐차 지원(5등급),1650.0,4300.0
강원,인제군,수송,노후경유차 조기폐차 지원(건설기계),20.0,0.0
강원,인제군,수송,노후차 운행제한 단속시스템 운영,0.0,0.0
강원,인제군,수송,수소전기자동차 보급,90.0,1725.0
강원,인제군,수송,어린이 통학차량 LPG차 전환 지원,0.0,25.0
강원,인제군,수송,자동차 탄소포인트제 운영,60.0,10.0
강원,인제군,수송,전기이륜차 보급,100.0,120.0
강원,인제군,수송,전기자동차 구매 및 충전인프라 구축(승용),1000.0,3545.0
강원,인제군,수송,전기자동차 구매 및 충전인프라 구축(승합),10.0,630.0
강원,인제군,수송,전기자동차 구매 및 충전인프라 구축(화물소형),1080.0,4360.0
강원,정선군,수송,건설기계 엔진교체 지원,2867.0,1041.0
강원,정선군,수송,매연저감장치 부착지원,2125.0,162.0
강원,정선군,수송,운행경유차 배출가스 저감사업(조기폐차),2297.0,4336.0
강원,정선군,수송,자동차 탄소포인트제 인센티브 지급,299.0,10.0
강원,정선군,수송,전기이륜차 구매지원,80.0,150.0
강원,정선군,수송,전기자동차 보조금 지급(승용),1183.0,7700.0
강원,정선군,수송,전기자동차 보조금 지급(화물),658.0,0.0
강원,철원군,수송,어린이 통학차량 LPG 전환지원,0.4,10.0
