광역,지역명,사업명,온실가스감축량_합계_톤,예산_합계_백만원
강원,삼척시,대중교통 활성화,8141.0,2750.0
강원,원주시,대중교통비 환급 지원 사업(K-패스),31.4,10500.0
강원,춘천시,대중교통 이용 활성화,17160.0,14422.0
강원,홍천군,대중교통 활성화 사업 (교통카드 할인 손실보장),9710.0,810.0
강원,홍천군,대중교통 활성화 사업 (알뜰교통카드 마일리지 플러스),9710.0,13.0
경기,가평군,대중교통 환승할인 지원 (道 기본계획 세부과제),0.0,5740.0
경기,고양시,대중교통 이용 홍보 ,75.0,0.0
경기,고양시,대중교통비 환급 지원 ,0.0,0.0
경기,광명시,경기패스 대중교통비 환급,99.0,0.0
경기,광명시,노인 대중교통비 지원,0.0,0.0
경기,광명시,대중교통 환승할인 지원 ,2980.0,0.0
경기,광주시,대중교통 활성화_ 수요응답형 대중교통 도입,0.0,0.0
경기,구리시,대중교통 이용 활성화,0.0,0.0
경기,군포시,대중교통 이용 활성화,70.0,1495.0
경기,동두천시,교통비 지원을 통한 대중교통 이용 활성화(K패스 마일리지 지원/ 환승지원/어린이 청소년 할인,2240.0,1769.0
경기,부천시,대중교통비 환급 지원 사업,0.0,0.0
경기,부천시,철도중심대중 교통 인프라 확충 (GTX-B),0.0,0.0
경기,부천시,철도중심대중 교통 인프라 확충 (대장~홍대선),0.0,0.0
경기,성남시,대중교통 이용 활성화,1415.0,0.0
경기,수원시,광역철도를 포함한 대중교통망 확충 및 관리(GTX-C노선 연장),0.0,0.0
경기,수원시,광역철도를 포함한 대중교통망 확충 및 관리(수원발 KTX 신설),0.0,0.0
경기,수원시,광역철도망 구축을 통한 대중교통 서비스 제고(동탄인덕원선 신설),0.0,0.0
경기,수원시,광역철도망 연장을 통한 대중교통 서비스 제고(신분당선 연장),0.0,0.0
경기,수원시,대중교통 서비스 빈도 및 품질 향상(BRT 구축),114.0,0.0
경기,수원시,대중교통 이용 확대(K-패스 가입 확대),2706.0,0.0
경기,수원시,대중교통불편 산업단지 통근버스 지원,1584.0,1476.0
경기,안양시,대중교통 이용 확대,3241.0,0.0
경기,여주시,수요응답형 대중교통 똑버스 운영,190.0,0.0
경기,연천군,친환경 대중교통 수단 확대,2484.0,1500.0
경기,오산시,대중교통 연계 서비스 개선을 위한 오산역환승센터 운영,0.0,134.0
경기,오산시,대중교통비 환급 지원사업,584.0,5589.0
경기,용인시,대중교통 복합환승센터 조성,0.0,0.0
경기,용인시,대중교통요금 환급 지원사업,0.0,0.0
경기,의왕시,교통비 지원을 통한 대중교통 이용 활성화,0.0,0.0
경기,화성시,대중교통 이용확대(승용차 → 대중교통),0.0,0.0
경기,화성시,대중교통 환승할인 지원,0.0,0.0
경남,고성군,대중교통비 환급 지원(K-패스),8.0,60.0
경남,김해시,대중교통 수송분담률 향상,255752.0,27470.0
경남,김해시,대중교통비 환급 지원(K-패스 및 경남패스),147.0,33360.0
경남,산청군,대중교통비 환급 지원(K-패스),7.0,35.0
경남,양산시,대중교통 이용 활성화 추진,11732.0,5910.0
