광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원)
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2025,245,21
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2026,245,21
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2027,245,21
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2028,245,21
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2029,245,21
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2030,245,21
강원,춘천시,강원 춘천시,건물,가정용 저녹스보일러 설치 지원,2034,980,84
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2025,14,797
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2026,28,800
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2027,41,800
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2028,55,800
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2029,69,800
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2030,83,800
강원,춘천시,강원 춘천시,건물,공공건축물 그린리모델링,2034,468,3200
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2025,0,206
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2026,0,206
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2027,0,206
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2028,0,206
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2029,0,206
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2030,0,206
강원,춘천시,강원 춘천시,건물,소양에너지페이사업,2034,0,824
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2025,0,70
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2026,0,70
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2027,0,70
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2028,0,70
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2029,0,70
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2030,0,70
강원,춘천시,강원 춘천시,건물,우리집 전기저금통 보급,2034,0,280
강원,춘천시,강원 춘천시,건물,탄소포인트제 운영,2025,21,56
