광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2025,197,"1,080",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2026,197,"1,080",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2027,197,"1,080",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2028,197,"1,080",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2029,197,"1,080",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2030,197,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(공공),2034,788,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2025,554,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2026,462,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2027,462,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2028,462,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2029,462,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2030,462,"2,335",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,신재생에너지 보급(민간),2034,"1,848",0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2025,0,"4,898",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2026,"1,213","4,823",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2030,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 확대,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2025,0,768,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2026,6,468,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2030,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,[그린도시] 재생에너지 기반 열섬저감 시설,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2025,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2026,"2,407","5,463",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2027,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2030,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,공공부지 시민 태양광발전사업,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,2024년 경기RE100 선도사업,2028,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,2024년 경기RE100 선도사업,2029,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,2024년 경기RE100 선도사업,2030,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,전환,2024년 경기RE100 선도사업,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2025,55,206,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2026,"1,110","2,880",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2027,"1,110","2,880",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2028,"1,110","2,880",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2029,"1,110","2,880",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2030,"1,110","2,880",,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,수원특례시 녹색지붕(Green Roof) 조성사업,2034,0,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2025,117,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2026,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2027,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2028,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2029,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2030,33,0,,,,,,,,,,,,,,,,,,
경기,수원시,경기 수원시,건물,공공 제로에너지건축물 보급사업(비주거용),2034,132,0,,,,,,,,,,,,,,,,,,
