광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2027,0,1000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2030,0,150,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,BEMS 확산,2034,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2030,3340,15000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,건물형 분산전원 보급,2034,6679,15000,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2027,28,5283,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2030,41,2641,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,그린리모델링 활성화,2034,69,5283,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2027,0,40,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2030,0,90,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,비산업 온실가스/에너지 진단 지원,2034,0,160,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,신축건물 화석연료 사용 제한,2025,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,신축건물 화석연료 사용 제한,2026,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,신축건물 화석연료 사용 제한,2027,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,신축건물 화석연료 사용 제한,2028,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,신축건물 화석연료 사용 제한,2029,0,0,,,,,,,,,,,,,,,,
경남,거제시,경남 거제시,건물,신축건물 화석연료 사용 제한,2030,0,0,,,,,,,,,,,,,,,,
