광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2025,145,150,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2026,175,150,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2027,204,150,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2028,234,150,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2029,264,150,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2030,290,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가로등 설치 및 유지보수,2034,1421,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2025,1825,118,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2026,1891,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2027,1956,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2028,2022,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2029,2087,120,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2030,2153,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,가정용 저녹스보일러 보급사업,2034,9268,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2025,99,2820,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2026,135,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2027,171,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2028,207,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2029,243,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2030,279,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,도시가스 미공급지역 지원,2034,1476,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2025,8,40,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2026,10,40,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2027,12,40,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2028,14,40,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2029,15,40,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2030,17,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,복지시설 에너지 절약사업,2034,88,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2025,1,48,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2026,3,48,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2027,4,48,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2028,6,48,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2029,7,48,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2030,9,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,소상공인 고효율기기 지원사업,2034,49,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2025,11,32,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2026,13,32,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2027,15,32,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2028,17,32,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2029,20,32,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2030,22,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,취약계층 에너지 복지사업,2034,107,0,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,탄소포인트제 인센티브 지원사업,2025,455,58,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,탄소포인트제 인센티브 지원사업,2026,455,58,,,,,,,,,,,,,,,,,
경북,경산시,경북 경산시,건물,탄소포인트제 인센티브 지원사업,2027,455,58,,,,,,,,,,,,,,,,,
