광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2025,0,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2026,0,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2027,0,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2028,0,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2029,0,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2030,0,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공건축물 그린리모델링,2034,0,1600,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2025,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2026,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2027,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2028,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2029,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2030,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,공공부문 온실가스 목표관리제 운영,2034,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2025,122,350,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2026,122,350,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2027,122,350,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2028,122,350,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2029,131,420,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2030,131,420,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도로조명시설 밝기개선사업,2034,140,500,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2025,0,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2026,0,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2027,0,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2028,0,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2029,0,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2030,0,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,도심 속 빈집 정비 사업,2034,0,960,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2025,0,700,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2026,0,700,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2027,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2028,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2029,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2030,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,마을 단위 LPG 소형저장탱크 보급,2034,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2025,10,120,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2026,11,130,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2027,12,140,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2028,13,150,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2029,14,160,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2030,14,160,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,안심하고 걸을 수 있는 공원 밝기개선,2034,56,640,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2025,1,20,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2026,2,50,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2027,1,10,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2028,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2029,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2030,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,온실가스 및 에너지 목표관리를 위한 공공체육시설 조명시설 개선사업,2034,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2025,82,3700,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2026,83,3750,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2027,84,3800,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2028,85,3850,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2029,86,3900,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2030,86,3950,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,저소득층 맞춤형 에너지 지원사업,2034,355,16300,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2025,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2026,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2027,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2028,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2029,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2030,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,청사 에너지 절약으로 기후위기 대응,2034,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2025,7,100,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2026,7,100,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2027,7,100,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2028,7,100,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2029,7,100,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2030,7,100,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 맞춤형 기후변화 안전망 구축,2034,27,400,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2025,9,70,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2026,9,70,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2027,9,70,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2028,8,64,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2029,8,64,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2030,8,64,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,취약계층 에너지 복지사업,2034,29,232,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2025,80,90,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2026,80,90,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2027,80,90,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2028,80,90,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2029,80,90,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2030,54,60,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소 줄이는 친환경 보일러 지원 사업,2034,214,240,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2025,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2026,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2027,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2028,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2029,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2030,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(LNG 사용 절감량),2034,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(수도 사용 절감량),2025,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(수도 사용 절감량),2026,0,0,,,,,,,,,,,,,,,,,,
광주,광산구,광주 광산구,건물,탄소중립포인트제 운영(수도 사용 절감량),2027,0,0,,,,,,,,,,,,,,,,,,
