광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2025,45,14,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2026,47,14,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2027,49,14,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2028,51,14,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2029,53,14,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2030,54,14,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,고효율 기기 교체지원,2034,236,56,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2025,3,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2026,5,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2027,7,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2028,8,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2029,10,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2030,12,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,공공부문 그린리모델링 지원,2034,18,450,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2025,97,141,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2026,108,141,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2027,119,141,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2028,130,141,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2029,141,141,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2030,151,141,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,도시가스 공급 확충,2034,714,564,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2025,9,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2026,9,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2027,9,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2028,9,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2029,9,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2030,9,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,저녹스보일러 보급,2034,36,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2025,56,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2026,56,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2027,56,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2028,56,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2029,56,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2030,56,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,제로에너지빌딩(비거주용)확대,2034,224,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2025,961,870,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2026,1207,870,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2027,1453,870,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2028,1699,870,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2029,1944,870,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2030,2190,870,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,전환,지열 보급,2034,11218,3480,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2025,91,5,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2026,94,5,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2027,97,5,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2028,101,5,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2029,104,5,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2030,0,5,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,탄소포인트제 참여확대,2034,120,20,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2025,151,206,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2026,184,206,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2027,217,206,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2028,149,206,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2029,282,206,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2030,315,206,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,건물,태양열 보급,2034,1587,824,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2025,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2026,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2027,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2028,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2029,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2030,17,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,가축분뇨 공공처리시설 에너지화,2034,68,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2025,0,225,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2026,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2027,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2028,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2029,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2030,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,관내생산 유기질비료 추가지원,2034,0,0,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,다겹보온커튼 설치 지원(오이),2025,35,55,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,다겹보온커튼 설치 지원(오이),2026,35,55,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,다겹보온커튼 설치 지원(오이),2027,35,55,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,다겹보온커튼 설치 지원(오이),2028,35,55,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,다겹보온커튼 설치 지원(오이),2029,35,55,,,,,,,,,,,,,,,,,,
대구,군위군,대구 군위군 ,농축산,다겹보온커튼 설치 지원(오이),2030,35,55,,,,,,,,,,,,,,,,,,
