광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2025,600,930,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2026,652,950,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2027,705,1070,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2028,757,1070,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2029,810,1100,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2030,862,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 교체),2034,1071,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2025,70,930,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2026,82,950,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2027,91,1070,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2028,102,1070,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2029,114,1100,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2030,122,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,가로등 개선사업 및 도시조명 유지관리 및 정비(가로등 신설),2034,157,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2025,454,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2026,519,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2027,600,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2028,707,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2029,839,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2030,1116,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,공공부문 온실가스 목표관리제,2034,1355,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2025,29,126,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2026,30,126,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2027,31,126,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2028,32,126,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2029,33,126,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2030,34,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,녹색생활실천 탄소포인트제 가입 확대,2034,37,0,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,미세먼지 저감을 위한 맞춤형 사업 추진(가정용 저녹스 보일러 보급),2025,5644,130,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,미세먼지 저감을 위한 맞춤형 사업 추진(가정용 저녹스 보일러 보급),2026,5760,130,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,미세먼지 저감을 위한 맞춤형 사업 추진(가정용 저녹스 보일러 보급),2027,5877,130,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,미세먼지 저감을 위한 맞춤형 사업 추진(가정용 저녹스 보일러 보급),2028,5993,130,,,,,,,,,,,,,,,,,,
대전,대덕구,대전 대덕구,건물,미세먼지 저감을 위한 맞춤형 사업 추진(가정용 저녹스 보일러 보급),2029,6109,130,,,,,,,,,,,,,,,,,,
