광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2025,333,33230,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2026,352,41559,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2027,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2028,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2029,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2030,541,50,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,공공기관 제로에너지 빌딩 건축물,2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2025,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2026,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2027,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2028,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2029,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2030,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,동절기 청사 냉방관리,2034,1,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2025,6,18,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2026,6,18,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2027,6,18,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2028,6,18,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2029,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2030,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저녹스 보일러 설치 지원사업,2034,0,0,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저탄소 생활실천 홍보 캠페인,2025,0,3,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저탄소 생활실천 홍보 캠페인,2026,0,3,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저탄소 생활실천 홍보 캠페인,2027,0,3,,,,,,,,,,,,,,,,,
부산,강서구,부산 강서구,건물,저탄소 생활실천 홍보 캠페인,2028,0,3,,,,,,,,,,,,,,,,,
