광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2026,21384,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2027,23522,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2028,23522,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2029,23522,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2030,23522,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,ZEB 5등급 적용,2034,76982,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2026,643,720,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2027,804,900,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2028,804,900,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2029,804,900,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2030,804,900,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,가정용 보일러 보급,2034,2573,2880,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2026,115310,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2027,69186,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2028,69186,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2029,72480,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2030,138372,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,건물 온실가스 총량제 시행(대상건물),2034,264883,0,,,,,,,,,,,,,,,,,,,,
