광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2025,4897,168,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2026,5005,120,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2027,5112,120,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2028,5219,120,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2029,5326,120,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2030,5433,120,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,가정용 저녹스보일러 지원사업,2034,22806,480,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2025,0,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2026,147,2276,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2027,295,2276,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2028,590,4552,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2029,885,4552,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2030,1180,4552,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,고단열 창호교체,2034,1180,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2025,23,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2026,23,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2027,23,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2028,23,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2029,23,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2030,23,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,공공건축물 그린 리모델링,2034,70,0,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2025,267,332,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2026,533,664,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2027,800,664,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2028,1066,664,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2029,1466,995,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2030,1866,995,,,,,,,,,,,,,,,,
울산,남구,울산 남구,건물,그린홈 주택지원사업,2034,11461,3981,,,,,,,,,,,,,,,,
