광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2025,30,36,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2026,30,36,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2027,30,36,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2028,30,36,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2029,30,36,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2030,30,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,가정용 친환경 보일러 설치 지원,2034,30,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2025,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2026,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2027,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2028,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2029,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2030,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공건축물 제로에너지빌딩 건립,2034,33,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2025,2,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2026,2,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2027,2,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2028,4,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2029,4,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2030,6,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공기관 에너지 절약 추진,2034,6,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,공공부문 온실가스 목표관리제,2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,국공립 어린이집 녹색건축화 조성사업 추진,2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2025,1097,300,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2026,1113,300,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2027,1113,300,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2028,1147,300,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2029,1163,300,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2030,1163,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,도시가스 공급 확대,2034,1163,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2025,475,10,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2026,488,10,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2027,500,10,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2028,512,10,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2029,525,10,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2030,537,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,목재펠릿보일러 설치지원 사업,2034,586,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2025,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2026,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2027,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2028,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2029,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2030,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,민간 건축물 제로에너지 건물 인증 확대,2034,0,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2025,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2026,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2027,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2028,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2029,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2030,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,저층주거지 집수리 지원사업,2034,24,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2025,50,150,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2026,100,150,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2027,150,150,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2028,200,150,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2029,250,150,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2030,300,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,취약계층 LED 교체 지원,2034,500,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2025,915,1,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2026,982,1,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2027,1048,1,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2028,1115,1,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2029,1182,1,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2030,1248,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,친환경 고효율 도로조명 설치,2034,1515,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,탄소중립포인트 에너지제도 운영,2025,205,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,탄소중립포인트 에너지제도 운영,2026,207,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,탄소중립포인트 에너지제도 운영,2027,208,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,탄소중립포인트 에너지제도 운영,2028,209,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,탄소중립포인트 에너지제도 운영,2029,210,0,,,,,,,,,,,,,,,,,
인천,강화군,강화군,건물,탄소중립포인트 에너지제도 운영,2030,211,0,,,,,,,,,,,,,,,,,
