광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2025,6 ,988 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2026,12 ,988 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2027,18 ,988 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2028,24 ,988 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2029,31 ,988 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2030,37 ,988 ,,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시가스 미공급 지역 에너지 보급 지원,2034,208 ,"3,952 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2025,6 ,"1,814 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2026,13 ,"1,814 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2027,19 ,"1,814 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2028,26 ,"1,814 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2029,32 ,"1,814 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2030,39 ,"1,814 ",,,,,,,,,,,,,,,,,,
전남,강진군,전남 강진군,건물,도시민 유치를 위한 정주기반 조성,2034,218 ,"7,256 ",,,,,,,,,,,,,,,,,,
