광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2025,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2026,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2027,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2028,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2029,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2030,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,민간태양광 운영,2034,97737,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2025,2456,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2026,2585,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2027,2721,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2028,2857,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2029,2993,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2030,3128,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 융복합 사업,2034,3696,767,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2025,551,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2026,576,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2027,604,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2028,634,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2029,671,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2030,708,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 주택지원사업,2034,875,37,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2025,0,100,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2026,0,200,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2027,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2028,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2029,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2030,0,200000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,RE-100 산업단지 조성,2034,0,200000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2025,0,19,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2026,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2027,0,0,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2028,0,100000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2029,0,400000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2030,0,100000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,전환,신재생에너지 단지 조성,2034,0,100000,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2025,160,350,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2026,241,350,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2027,323,350,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2028,406,360,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2029,490,360,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2030,574,74,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가로등 유지관리,2034,922,74,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가정용 저녹스 보일러 설치지원,2025,76,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가정용 저녹스 보일러 설치지원,2026,77,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가정용 저녹스 보일러 설치지원,2027,78,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가정용 저녹스 보일러 설치지원,2028,80,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가정용 저녹스 보일러 설치지원,2029,81,3,,,,,,,,,,,,,,,,,
전북,고창군,전북 고창군,건물,가정용 저녹스 보일러 설치지원,2030,83,3,,,,,,,,,,,,,,,,,
