광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2025,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2026,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2027,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2028,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2029,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2030,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,LED 교체지원,2034,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2025,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2026,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2027,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2028,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2029,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2030,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,공공부문 그린리모델링 지원,2034,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2025,62,22,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2026,62,22,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2027,62,22,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2028,62,22,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2029,62,22,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2030,62,109,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,목재펠릿보일러 보급,2034,62,109,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2025,5,720,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2026,5,720,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2027,5,720,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2028,5,720,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2029,5,720,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2030,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,소형 LPG탱크 보급,2034,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2025,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2026,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2027,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2028,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2029,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2030,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,옥상녹화사업,2034,0,0,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,저녹스보일러 보급,2025,95,9,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,저녹스보일러 보급,2026,95,9,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,저녹스보일러 보급,2027,95,9,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,저녹스보일러 보급,2028,95,9,,,,,,,,,,,,,,,,,,
충남,공주시,충남 공주시,건물,저녹스보일러 보급,2029,95,9,,,,,,,,,,,,,,,,,,
