광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2025,9,500,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2026,9,500,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2027,9,500,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2028,5,500,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2029,5,500,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2030,5,500,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 공급확충,2034,5,2000,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2025,6,400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2026,6,400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2027,6,400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2028,6,400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2029,6,400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2030,6,400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,도시가스 미공급지역 소형 LPG 저장탱크 공급,2034,6,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2025,62,52,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2026,62,52,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2027,62,52,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2028,62,52,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2029,62,52,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2030,62,52,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,목재펠릿보일러 보급,2034,62,208,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2025,9,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2026,9,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2027,9,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2028,9,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2029,9,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2030,9,2,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,저녹스보일러 보급,2034,9,8,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2025,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2026,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2027,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2028,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2029,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2030,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,지열 보급 확대,2034,335,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2025,15,60,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2026,15,60,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2027,15,60,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2028,9,60,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2029,9,60,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2030,9,60,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,취약계층 고효율 LED 교체 지원,2034,9,240,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2025,131,36,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2026,132,36,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2027,133,36,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2028,134,36,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2029,135,36,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2030,136,36,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,건물,탄소포인트제 참여가구 확대,2034,161,144,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2025,17,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2026,17,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2027,17,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2028,17,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2029,17,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2030,17,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,태양열 보급 확대,2034,29,0,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2025,0,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2026,0,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2027,0,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2028,0,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2029,0,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2030,0,1600,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,가축부뇨 자원화 추진,2034,0,6400,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2025,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2026,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2027,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2028,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2029,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2030,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,농업환경보전프로그램 운영,2034,0,1200,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,산림자원활용 스마트팜 조성,2025,0,1750,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2025,0,270,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2026,0,270,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2027,0,270,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2028,0,270,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2029,0,270,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2030,0,270,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,유기농 친환경 기술보급 시범사업,2034,0,1080,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2025,0,1800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2026,0,1800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2027,0,1800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2028,0,1800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2029,0,1800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2030,0,1800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,인증별 맞춤형 영농자재 지원,2034,0,7200,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2025,6170,5003,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2026,6170,5310,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2027,6170,5310,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2028,6170,5310,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2029,6170,5310,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2030,6170,5310,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,조사료 보급 확대,2034,6170,21240,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2025,0,1457,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2026,0,1457,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2027,0,1457,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2028,0,1457,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2029,0,1457,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2030,0,1457,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 생산단지 조성,2034,0,5828,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 인증농가 지원,2025,0,667,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 인증농가 지원,2026,0,667,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 인증농가 지원,2027,0,667,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 인증농가 지원,2028,0,667,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 인증농가 지원,2029,0,667,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,농축산,친환경 인증농가 지원,2030,0,667,,,,,,,,,,,,,,,,
